lat,long,commonID,samplingProgram
50.00783,-87.44852,Onaman_1,BsM
50.93757,-94.26786,Onnie_1,BsM
49.06794,-83.13713,Opasatika_1,BsM
47.19487,-81.36096,Oshawong_1,BsM
49.34929,-88.37581,Oskawe_1,BsM
50.85048,-91.85134,Otatakan_1,BsM
48.19347,-91.14873,Other Man_1,BsM
48.96084,-92.89431,Otukamamoan_1,BsM
49.39128,-90.27892,Pakashkan_1,BsM
50.74727,-93.50609,Pakwash_1,BsM
45.01754,-76.84758,Palmerston_1,BsM
49.45125,-87.64326,Parks_1,BsM
50.98287,-90.30102,Pashkokogan_1,BsM
44.96256,-78.04905,Paudash_1,BsM
49.65181,-82.35069,Pearce_1,BsM
50.1115,-91.96123,Pelican_1,BsM
49.95125,-91.19549,Penassi_1,BsM
46.83672,-83.50296,Penelope_1,BsM
48.74848,-91.83244,Perch_1,BsM
50.29084,-93.13068,Perrault_1,BsM
48.94535,-92.26647,Pettit_1,BsM
45.77203,-79.15232,Peyton_1,BsM
48.8523,-81.04454,Pickerel_1,BsM
48.63384,-91.37177,Pickerel_2,BsM
49.79767,-94.8772,Pickerel_3,BsM
45.68198,-79.3074,Pickerel_4,BsM
49.50777,-80.71202,Pierre_1,BsM
44.47155,-78.49495,Pigeon_1,BsM
51.80217,-93.99622,Pikangikum_1,BsM
49.09952,-93.54379,Pipestone_1,BsM
49.02703,-84.83384,Placid_1,BsM
46.96784,-81.83568,Pogamasing_1,BsM
45.36477,-78.7556,Poorhouse_1,BsM
46.44422,-82.54487,Popeye_1,BsM
49.50585,-93.59764,Populus_1,BsM
49.72464,-93.84386,Porcus_1,BsM
47.9122,-83.90502,Prairie Bee_1,BsM
49.79986,-91.50461,Press_1,BsM
49.34673,-93.35655,Priam_1,BsM
49.05233,-88.76841,Pringle_1,BsM
47.18868,-81.12899,Prune_1,BsM
49.15261,-88.4217,Purdom_1,BsM
47.16395,-84.61718,Queminico_1,BsM
47.16053,-83.89663,Quinn_1,BsM
46.9898,-79.6473,Rabbit_1,BsM
48.21258,-80.75526,Radisson_1,BsM
46.90502,-83.56707,Ranger_1,BsM
45.61116,-77.31996,Rattrays_1,BsM
48.05196,-79.55023,Raven_1,BsM
46.65506,-82.61487,Rawhide_1,BsM
